@id,@type,name,amenity,sport,@lat,@lon
9656015102,node,,,fitness,48.1745772,11.5154298
9677276406,node,,,fitness,48.2930210,10.9475032
9733407820,node,Gold's Gym Fitnessstudio,,fitness,48.1296596,11.6249930
9761877750,node,,,fitness,48.3961497,11.7378043
9761877751,node,,,fitness,48.3960869,11.7375328
9761877752,node,,,fitness,48.3962071,11.7375260
9761877753,node,,,fitness,48.3962295,11.7376165
9761877754,node,,,fitness,48.3962412,11.7379692
9761877755,node,,,fitness,48.3961882,11.7380002
9761877756,node,,,fitness,48.3961192,11.7375692
9836784202,node,,,fitness,48.2048665,11.3169069
9836784203,node,,,fitness,48.2043422,11.3172931
9874236590,node,,,fitness,48.3396092,10.9417259
9951800868,node,,,fitness,48.1238928,11.6632300
9961351988,node,,,fitness,48.2218124,11.2586787
9985738860,node,,,fitness,48.3930441,10.8967179
10009297885,node,,,fitness,48.1269011,11.5158909
10040112837,node,,,fitness,48.3417352,10.8980447
10040112838,node,,,fitness,48.3417352,10.8979844
10040112839,node,,,fitness,48.3417352,10.8979250
10040112840,node,,,fitness,48.3417352,10.8978605
10040112841,node,,,fitness,48.3417352,10.8977850
10040112842,node,,,fitness,48.3416970,10.8977266
10040112843,node,,,fitness,48.3416603,10.8977266
10040112844,node,,,fitness,48.3416209,10.8977266
10140159412,node,fit+,,fitness,47.9730559,11.7788927
10204191687,node,,,fitness,47.8298815,12.1094800
10236575858,node,Himmelblau Loft,,fitness,47.8408739,12.1244582
10293059426,node,,,fitness,48.0968470,11.3830027
10293059427,node,,,fitness,48.0962147,11.3827291
10554823510,node,FIT STAR München-Neuried,,fitness,48.0895162,11.4702496
10557607964,node,,,fitness,48.3962374,10.9056697
10557607965,node,,,fitness,48.3962216,10.9056715
10676196407,node,,,fitness,48.3669445,10.9318915
10676196807,node,,,fitness,48.3674637,10.9312497
10683316058,node,AmperVital,,fitness,48.2646322,11.4290133
10746580217,node,,,fitness,48.1118755,11.5725588
10755935826,node,,,fitness,48.1552432,11.5540098
10846108809,node,,,fitness,48.0360052,11.9742140
10871758970,node,Elements,,fitness,48.1432943,11.5369454
10875855072,node,eo GYM – Kaiser & Petrik GbR,,fitness,48.1408692,11.6277707
11114874511,node,,,fitness,48.2322573,10.9354071
11114874512,node,,,fitness,48.2322145,10.9351704
11114874513,node,,,fitness,48.2321897,10.9348076
11114874514,node,,,fitness,48.2321003,10.9348840
11114874515,node,,,fitness,48.2325148,10.9359650
11114874516,node,,,fitness,48.2326381,10.9360280
11114874517,node,,,fitness,48.2328409,10.9360508
11114874518,node,,,fitness,48.2327721,10.9358523
11114874519,node,,,fitness,48.2327015,10.9355868
11114874520,node,,,fitness,48.2326220,10.9352166
11114874521,node,,,fitness,48.2325979,10.9347419
11114874522,node,,,fitness,48.2325104,10.9346627
11114874523,node,,,fitness,48.2325568,10.9344844
11114874524,node,,,fitness,48.2322361,10.9344629
11114874548,node,,,fitness,48.2325479,10.9343784
11116573883,node,,,fitness,48.0770968,11.4532669
11116573884,node,,,fitness,48.0766015,11.4544174
11116573885,node,,,fitness,48.0759401,11.4552454
11116573886,node,,,fitness,48.0754090,11.4561809
11116573887,node,,,fitness,48.0755217,11.4575922
11116573888,node,,,fitness,48.0765485,11.4579061
11116573889,node,,,fitness,48.0775007,11.4588248
11116573890,node,,,fitness,48.0781937,11.4596226
11116573891,node,,,fitness,48.0792231,11.4609678
11116573892,node,,,fitness,48.0803261,11.4621198
11116573893,node,,,fitness,48.0809954,11.4617417
11116573897,node,,,fitness,48.0818962,11.4607878
11116573898,node,,,fitness,48.0825844,11.4607068
11116573900,node,,,fitness,48.0829639,11.4601740
11116573901,node,,,fitness,48.0838198,11.4604796
11116573903,node,,,fitness,48.0841578,11.4602902
11189042153,node,,,fitness,48.1064591,11.7143837
11195745975,node,Fitnessstube,,fitness,48.2503223,11.5775219
11405501144,node,Fit Star (FitStar),,fitness,48.1755486,11.5859148
11536718168,node,,,fitness,48.2930579,10.9475840
11536720669,node,,,fitness,48.2930603,10.9476345
11536720670,node,,,fitness,48.2930539,10.9476764
11536720671,node,,,fitness,48.2930423,10.9477177
11536720672,node,,,fitness,48.2930191,10.9477506
11536720673,node,,,fitness,48.2929087,10.9477245
11536720674,node,,,fitness,48.2929778,10.9476757
11536720675,node,,,fitness,48.2929377,10.9475755
11645477067,node,SlimMissima,,fitness,47.8714351,12.0150585
11663466601,node,Pilates Now,,fitness,48.1565423,11.5656648
11682351634,node,,,fitness,48.3013786,10.9684393
11758637854,node,Vorwärts hangeln,,fitness,48.3169502,11.0340010
11758637856,node,Balken,,fitness,48.3179828,11.0257741
11758637857,node,Knie durchstrecken,,fitness,48.3177834,11.0248995
11758637861,node,Hürdenlauf,,fitness,48.3166678,11.0323332
11758637862,node,Barren,,fitness,48.3174502,11.0345567
11758637864,node,Armzug Liegestützen,,fitness,48.3164246,11.0305186
11773371673,node,,,fitness,48.1766464,11.8021458
11775536836,node,,,fitness,47.7445697,12.1067851
11778583544,node,Gesundheits- und Präventionszentrum Florian Palme,,fitness,48.1006404,11.7866872
11839317549,node,WNDRLND,,fitness,48.1366302,11.5979469
11860617964,node,MePower,,fitness,48.1553542,11.5742745
11912235455,node,,,fitness,48.2513529,11.6654068
11917648730,node,Fitness World,,fitness,48.3799876,10.9336737
11927096460,node,Fitnexx,,fitness,48.3042508,11.6376696
12019757774,node,,,fitness,48.0223553,11.5909537
12028887329,node,Schilcher Training,,fitness,47.8635116,12.0101890
12032636936,node,,,fitness,48.1013903,11.6206210
12040301441,node,,,fitness,48.1586502,11.4776679
12040301442,node,,,fitness,48.1586080,11.4775961
12040301443,node,,,fitness,48.1586646,11.4774603
12040301444,node,,,fitness,48.1585794,11.4775261
12040301445,node,,,fitness,48.1586556,11.4775692
12041353810,node,Coach Emre 110%,,fitness,48.2735893,10.9789188
12064289206,node,,,fitness,48.1017983,11.6216163
12065857449,node,all inclusive Fitness,,fitness,47.8486952,12.0886236
12066654374,node,Body Street,,fitness,47.9965550,11.3385222
12112049725,node,WellGym,,fitness,47.8644838,12.0006330
12139841640,node,,,fitness,48.5366260,11.5112127
12140328161,node,Bodystreet,,fitness,48.2581504,11.4415933
12191404969,node,Clever fit,,fitness,48.2715110,11.5595314
12218877961,node,Bodystreet,,fitness,48.1285585,11.3654339
12229774288,node,Nils Wölken Fitness & Health Coaching,,fitness,48.2744149,11.8935182
12307162823,node,My Private Gym,,fitness,48.1030137,11.5402321
12328969095,node,,,fitness,48.1080529,11.4295315
12384744803,node,Bockspringen,,fitness,48.3161980,11.0275803
12384744804,node,Vorwärts überden Stamm,,fitness,48.3167046,11.0275803
12384744805,node,Treppe,,fitness,48.3178925,11.0265182
12384744806,node,Sitzen auf dem Baumstamm,,fitness,48.3189698,11.0251502
12384744807,node,Rumpfkreisen an den Ringen,,fitness,48.3190483,11.0267327
12384744808,node,Flanken,,fitness,48.3192017,11.0283045
12384744809,node,Klimmzüge,,fitness,48.3191303,11.0291896
